"english_item_id","word_pairs","english_word_full","french_item_id","french_word_full","rank","cognate_status","english_category","lexical_category","french_category","Eng_AoA","Fr_AoA"
158,"bib - bavette","bib",153,"bavette",NA,"non-cognate","clothing","nouns","clothing",24,23
159,"boots - bottes","boots",154,"bottes",63,"cognate","clothing","nouns","clothing",23,20
160,"button - bouton","button",155,"bouton",63,"cognate","clothing","nouns","clothing",22,24
161,"coat - manteau","coat",168,"manteau",NA,"non-cognate","clothing","nouns","clothing",23,20
162,"diaper - couche","diaper",162,"couche",NA,"non-cognate","clothing","nouns","clothing",19,20
163,"dress - robe","dress",175,"robe",NA,"non-cognate","clothing","nouns","clothing",25,27
164,"gloves - gants","gloves",165,"gants",NA,"non-cognate","clothing","nouns","clothing",27,27
165,"hat - chapeau","hat",158,"chapeau",NA,"non-cognate","clothing","nouns","clothing",19,17
167,"jeans - jeans","jeans",167,"jeans",126,"cognate","clothing","nouns","clothing",28,28
168,"mittens - mitaine","mittens",169,"mitaine",70,"cognate","clothing","nouns","clothing",28,22
169,"necklace - collier","necklace",161,"collier",NA,"non-cognate","clothing","nouns","clothing",26,26
170,"pyjamas - pyjama","pyjamas",174,"pyjama",85.5,"cognate","clothing","nouns","clothing",23,22
171,"pants - pantalons","pants",170,"pantalons",17,"cognate","clothing","nouns","clothing",22,21
173,"shirt - chemise","shirt",159,"chemise",NA,"non-cognate","clothing","nouns","clothing",22,29
175,"shorts - shorts","shorts",176,"shorts",95,"cognate","clothing","nouns","clothing",25,26
176,"slipper - pantoufle","slipper",171,"pantoufle",NA,"non-cognate","clothing","nouns","clothing",27,22
180,"sweater - chandail","sweater",157,"chandail",NA,"non-cognate","clothing","nouns","clothing",24,22
185,"arm - bras","arm",182,"bras",NA,"non-cognate","body_parts","nouns","body_parts",22,22
186,"belly_button - nombril","belly_button",197,"nombril",NA,"non-cognate","body_parts","nouns","body_parts",20,23
188,"cheek - joue","cheek",190,"joue",NA,"non-cognate","body_parts","nouns","body_parts",23,22
189,"chin - menton","chin",194,"menton",NA,"non-cognate","body_parts","nouns","body_parts",24,24
190,"ear - oreille","ear",198,"oreille",NA,"non-cognate","body_parts","nouns","body_parts",18,21
191,"eye - yeux","eye",205,"yeux",NA,"non-cognate","body_parts","nouns","body_parts",17,19
192,"face - visage","face",204,"visage",NA,"non-cognate","body_parts","nouns","body_parts",24,26
194,"feet - pieds","feet",201,"pieds",NA,"non-cognate","body_parts","nouns","body_parts",21,20
193,"finger - doigt","finger",185,"doigt",NA,"non-cognate","body_parts","nouns","body_parts",22,23
195,"hair - cheveux","hair",183,"cheveux",NA,"non-cognate","body_parts","nouns","body_parts",20,20
196,"hand - main","hand",193,"main",NA,"non-cognate","body_parts","nouns","body_parts",21,19
197,"head - tete","head",202,"tete",NA,"non-cognate","body_parts","nouns","body_parts",22,21
198,"knee - genou","knee",188,"genou",NA,"non-cognate","body_parts","nouns","body_parts",23,24
199,"leg - jambe","leg",189,"jambe",NA,"non-cognate","body_parts","nouns","body_parts",23,23
200,"lips - levres","lips",192,"levres",NA,"non-cognate","body_parts","nouns","body_parts",25,28
201,"mouth - bouche","mouth",181,"bouche",NA,"non-cognate","body_parts","nouns","body_parts",20,20
202,"nose - nez","nose",196,"nez",25,"cognate","body_parts","nouns","body_parts",17,17
204,"penis - penis","penis",200,"penis",NA,"cognate","body_parts","nouns","body_parts",27,25
205,"shoulder - epaule","shoulder",186,"epaule",NA,"non-cognate","body_parts","nouns","body_parts",27,26
208,"tooth - dent","tooth",184,"dent",NA,"non-cognate","body_parts","nouns","body_parts",22,19
206,"toe - orteil","toe",199,"orteil",NA,"non-cognate","body_parts","nouns","body_parts",21,23
207,"tongue - langue","tongue",191,"langue",4,"cognate","body_parts","nouns","body_parts",23,23
211,"basket - panier","basket",233,"panier",NA,"non-cognate","household","nouns","household",25,28
213,"bottle - bouteille","bottle",212,"bouteille",28,"cognate","household","nouns","household",19,23
215,"box - boîte","box",210,"boîte",13,"cognate","household","nouns","household",22,24
214,"bowl - bol","bowl",211,"bol",90,"cognate","household","nouns","household",23,24
216,"broom - balai","broom",209,"balai",NA,"non-cognate","household","nouns","household",24,22
217,"brush - brosse","brush",213,"brosse",57,"cognate","household","nouns","household",22,24
222,"comb - peigne","comb",235,"peigne",NA,"non-cognate","household","nouns","household",25,27
223,"cup - tasse","cup",249,"tasse",NA,"non-cognate","household","nouns","household",20,26
224,"dish - plat","dish",238,"plat",NA,"non-cognate","household","nouns","household",27,29
225,"fork - fourchette","fork",222,"fourchette",13,"cognate","household","nouns","household",22,22
226,"garbage - poubelle","garbage",240,"poubelle",NA,"non-cognate","household","nouns","household",26,22
227,"glass - verre","glass",251,"verre",NA,"non-cognate","household","nouns","household",25,24
228,"glasses - lunettes","glasses",227,"lunettes",NA,"non-cognate","household","nouns","household",23,21
229,"hammer - marteau","hammer",228,"marteau",NA,"non-cognate","household","nouns","household",26,26
230,"jar - pot","jar",239,"pot",NA,"non-cognate","household","nouns","household",29,24
231,"keys - clés","keys",217,"clés",25,"cognate","household","nouns","household",21,21
232,"knife - couteau","knife",219,"couteau",NA,"non-cognate","household","nouns","household",25,23
233,"lamp - lampe","lamp",225,"lampe",92,"cognate","household","nouns","household",28,28
234,"light - lumiere","light",226,"lumiere",NA,"non-cognate","household","nouns","household",20,20
235,"medicine - médicament","medicine",229,"médicament",34,"cognate","household","nouns","household",24,27
236,"money - argent","money",206,"argent",NA,"non-cognate","household","nouns","household",23,30
238,"nail - clou","nail",218,"clou",NA,"non-cognate","household","nouns","household",28,29
240,"paper - papier","paper",234,"papier",59.5,"cognate","household","nouns","household",23,23
241,"penny - sou","penny",248,"sou",NA,"non-cognate","household","nouns","household",27,24
243,"pillow - oreiller","pillow",232,"oreiller",NA,"non-cognate","household","nouns","household",22,25
244,"plant - plante","plant",237,"plante",95,"cognate","household","nouns","household",26,28
245,"plate - assiette","plate",208,"assiette",NA,"non-cognate","household","nouns","household",24,23
247,"radio - radio","radio",241,"radio",92,"cognate","household","nouns","household",27,27
248,"scissors - ciseaux","scissors",216,"ciseaux",71.5,"cognate","household","nouns","household",26,25
249,"soap - savon","soap",244,"savon",NA,"non-cognate","household","nouns","household",23,23
