"word_pairs","english_item_id","english_word_full","french_item_id","french_word_full","rank","cognate_status","lexical_category","english_category","french_category","Eng_AoA","Fr_AoA","matches"
"sandwich - sandwich",144,"sandwich",140,"sandwich",115.5,"cognate","nouns","food_drink","food_drink",25,26,"0.25.26.2"
"peas - pois",131,"peas",131,"pois",NA,"non-cognate","nouns","food_drink","food_drink",25,26,"0.25.26.2"
"zebra - zebre",55,"zebra",53,"zebre",68.5,"cognate","nouns","animals","animals",25,28,"0.25.28.1"
"basket - panier",211,"basket",233,"panier",NA,"non-cognate","nouns","household","household",25,28,"0.25.28.1"
"bat - bâton",72,"bat",70,"bâton",46.5,"cognate","nouns","toys","toys",26,25,"0.26.25.1"
"game - jeu",79,"game",80,"jeu",NA,"non-cognate","nouns","toys","toys",26,25,"0.26.25.1"
"popsicle - popsicle",136,"popsicle",135,"popsicle",128,"cognate","nouns","food_drink","food_drink",26,27,"0.26.27.1"
"jelly - confiture",120,"jelly",105,"confiture",NA,"non-cognate","nouns","food_drink","food_drink",26,27,"0.26.27.1"
"plant - plante",244,"plant",237,"plante",95,"cognate","nouns","household","household",26,28,"0.26.28.1"
"belt - ceinture",157,"belt",156,"ceinture",NA,"non-cognate","nouns","clothing","clothing",26,28,"0.26.28.1"
"rocking_chair - chaise_berçante",282,"rocking_chair",257,"chaise_berçante",4,"cognate","nouns","furniture_rooms","furniture_rooms",26,30,"0.26.30.1"
"stove - poele",289,"stove",277,"poele",NA,"non-cognate","nouns","furniture_rooms","furniture_rooms",26,30,"0.26.30.1"
"penis - penis",204,"penis",200,"penis",NA,"cognate","nouns","body_parts","body_parts",27,25,"0.27.25.1"
"snowman - bonhomme_de_neige",314,"snowman",291,"bonhomme_de_neige",NA,"non-cognate","nouns","outside","outside",27,25,"0.27.25.1"
"radio - radio",247,"radio",241,"radio",92,"cognate","nouns","household","household",27,27,"0.27.27.1"
"gloves - gants",164,"gloves",165,"gants",NA,"non-cognate","nouns","clothing","clothing",27,27,"0.27.27.1"
